,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
76,76,76,2020-05-04,42.3609504699707,44.62084450595514,41.976290231039044,44.524676694902055,29620830,44.35157623291016,42.5276346842448,41.91301807604338,41.79116630554199,41.24350326538086,42.63822530110677,-1.540696719791298,-0.0973360091893201,0.0510783209754748,0.0533485205339396,-0.0090805384360849,Financial Services,9.0,0.0
77,77,77,2020-05-05,41.30312728881836,43.61109956348576,41.0627132809305,43.32260348770566,22783249,44.05346298217773,42.65585556030273,41.996530633223685,41.88252353668213,41.441604461669925,42.14617792765299,-1.5642264419146903,-0.024971658317776,0.048894026468403,0.0558788747042942,-0.0058207216661034,Financial Services,9.0,0.0
78,78,78,2020-05-06,42.12053298950195,42.40902906213984,40.34147081787952,41.351208906325404,21471279,43.48608627319336,42.85780334472656,42.19392314710115,42.0027307510376,41.65316879272461,41.811201095581055,-1.5460444533348885,0.0197904070306289,-0.0182648230820891,0.0068492977690901,-0.0422374088206777,Financial Services,9.0,1.0
79,79,79,2020-05-07,41.495460510253906,43.08219081025828,41.11079661838371,41.735874525566096,20343168,42.84177703857422,42.96999664306641,42.21669929905941,42.15900001525879,41.705098419189454,41.5146905263265,-1.5599482720502849,-0.0148400894975341,0.0057937425529421,0.0382386478061202,-0.0092700234469055,Financial Services,9.0,0.0
80,80,80,2020-05-08,41.01462936401367,42.649441609209035,40.678047567088505,42.264781414985734,14969804,41.65894012451172,42.99884643554688,42.30780370611893,42.15659580230713,41.63585906982422,41.18612467447917,-1.5706436542851308,-0.0115875601891782,0.0304806375275683,0.0398592470673342,-0.0082063839694351,Financial Services,9.0,0.0
81,81,81,2020-05-11,41.44736862182617,42.937938230308546,41.11079051770666,41.35120449734237,27431639,41.47622375488281,42.81292597452799,42.416622362638776,42.2647819519043,41.72817779541016,41.28229001363118,-1.5610180054341394,0.0105508513553016,-0.0023201502937669,0.0359629491098125,-0.0081206145362451,Financial Services,9.0,1.0
82,82,82,2020-05-12,39.86064529418945,40.91846551599977,38.75473933358399,40.870383445631454,36707066,41.18772735595703,42.518018341064455,42.45711336637798,42.28882350921631,41.74356430053711,41.399291610717775,-1.5963123340622234,-0.0382828483543621,0.0253317060973217,0.0265379602864712,-0.0277443065069162,Financial Services,9.0,0.0
83,83,83,2020-05-13,41.495460510253906,43.274522756193385,40.62996858775934,43.274522756193385,40986378,41.06271286010743,42.50519663492839,42.54568702296207,42.409030723571775,41.81472717285156,41.55475947062175,-1.5599482720502849,0.0410132651892307,0.0428736595295733,0.0428736595295733,-0.0208575085527895,Financial Services,9.0,1.0
84,84,84,2020-05-14,43.659183502197266,43.94767956609893,40.629965660163585,41.78395358419672,52425222,41.49545745849609,42.59174550374349,42.70765023482473,42.60136184692383,42.02629150390625,41.67015825907389,-1.5118194338289852,0.0521436071641784,-0.0429515572114665,0.006607912488495,-0.0693832911896125,Financial Services,9.0,1.0
85,85,85,2020-05-15,42.072452545166016,43.65918650852583,41.880120599845625,43.65918650852583,18625496,41.70702209472656,42.51160736083985,42.59377007735403,42.6758903503418,42.06668106079101,41.64771957397461,-1.5471139321617386,-0.0363435783665398,0.0377143205915178,0.0377143205915178,-0.0045714460100445,Financial Services,9.0,0.0
86,86,86,2020-05-18,38.081573486328125,41.976282950424675,37.93732729740775,41.976282950424675,42172828,41.03386306762695,42.28722101847331,42.26731290315327,42.368160247802734,42.01859817504883,41.61245867411296,-1.6358851719640517,-0.0948572953895084,0.1022728082781245,0.1022728082781245,-0.0037878211353888,Financial Services,9.0,0.0
